Cluster Name,Frequency,Questions Count,Questions
Finding and accessing online orientation,9,7,"Where can i find online orientation
How do i get to online orientation
What steps to get to online orientation
How do you get to online orientation
How can you get online orientation
How fo i find the welcome for the online orientation
Where could i find the online orientation"
Locating the Human Resources office,9,7,"Where is human resources located
Where is the human resources center located
What building is human resources located in
Where is human resources
What floor is human resources located on
Where is the campus hr office
Where is the hr office located"
Finding and accessing the fall schedule,9,7,"Where can i see my fall schedule
Where can i find my fall schedule
How do i see my fall schedule
Where can i see my fall schedule for the upcoming school year
Where do i go to view my fall schedule
Hello where do i find your fall schedule is available
How can i view my fall schedule"
Number of campuses,9,7,"How many campuses are there
How many campuss does st johns have
How many campus are there
How many colleges is st johns college
How many colleges are listed under st johns university
How many universities in st johns
How many campuses does st johns university own"
Difficulty finding the 1098T form,9,7,"Its not there
I do not see it
I dont see it
Its not on there
What if its not there
It isnt coming up
That is not showing up for me"
Inappropriate or unrelated conversation,9,7,"Really
I will take that as yes
Ohh
No that all
Exactly
Thats it
No thats all"
Canceling enrollment,9,6,"I want to cancel my enrollment
How do i cancel my enrollment
I am not a current student im a future student but want to cancel my enrollment
How to cancel enrollment
I am an incoming student and want to cancel my enrollment
I would like to cancel my enrollment"
Library hours and availability,9,6,"Library hours
What are your library hours
What are library hours
Is the library open
When does the library open
What time does the library close"
Early action deadlines,9,6,"When is the early action deadline
When is the deadline for early action
What date is the deadline for early action
What is the early action deadline
What time do i get my early action decsion
Hi whens the early action date"
Accessing and viewing a schedule,9,6,"View schedule
How do i see my schdule
How to find my scheduele
Where do i check my scheudle
Where do i fnd my schedule
Where do i see my schdule"
Forgot PIN number,9,6,"I forgot my pin
Hi i forgot my pin
I dont remember my pin
I dont remember the pin
Forgot pin
What do i do if i cant remember my security pin"
Campus visits,9,6,"Campus visit
Camous visit
Campus visits
Vist campus
College vist
Visit campus"
Changing or adjusting a schedule,9,6,"Change schedule
How can i change my schedule
Change schedule for
What to do if you wanted to change something in your schedule
I need to change my schedule
I am a freshman how do i change my schedule"
Contacting IT support,9,5,"It contact
How to contact it
Take me there
I need to speak with someone from it
Connect me to it department"
Law school policies and regulations,9,5,"Law school
School of law
For law school
Introduction to legal studies
Which building is the law builfing"
Trouble with remembering or accessing security questions,9,5,"Forgot security question
Forgot security question for log in
I cannot remember the security question
Security question forgot
Forgot securtiy question"
Finding and accessing tutoring services,9,5,"How do i sign up for tutoring
Where can i get a tutor
How do i get a tutor
Where can i find a tutor
I need a tutor"
1098T tax form,9,5,"1098t
1098 t
1098 form
1098 tax
1098"
After school activities,9,5,"Do you have after school activities
Do you after school activities
Do you have activities in the school
Do you offer after school activities
Is there after school activities as well"
Renting a laptop,9,4,"Where can i rent a laptop
Where i have to rent a laptop
Where can i rent a mac laptop
How to rent a laptop"
Pass/fail grading system,9,4,"Pass fail
Passfail
Pass fail grades
Please explain pass fail grade options"
Financial aid office/department,9,4,"Financial aid office
Finacial aid office
Office of financial
Can i come in to visit the financial aid department"
Locating and obtaining a specific item or information,9,4,"Where can i find it
Where can i find that
How can i find it
Where would i find those"
Testing Single Sign-On (SSO) system,9,3,"Test sso
Test sso login
Test sso values"
Extracurricular activities and clubs,9,3,"Clubs
Club
Activites"
Accessing and retrieving student login information,9,3,"How do i access my student log in
How do i access the student log in
How do i access student log in"
Payment plans,9,2,"Payment plan
Payment plans"
Degree Works and its functionality,9,2,"Degree works
Degreeworks"
Transferring or transfer process,9,2,"Transfer
Trasnfer"
Accessing and using online portals,9,2,"Portal
Where is sevp portal"
Readmission to a university,9,2,"Readmission
Readmit"
Locating people or contact information,9,1,Directory
Registrar's office and its functions,9,1,Registrar
Locating and obtaining a specific form,8,8,"How do i get that form
Can you send me the form
Where can i find the form to fill out
Where do i get form
Do i need a form from
Where can i find this form
Where do i find this form
How do i get to that form"
Connecting to WiFi,8,8,"Whats the sjumobile wifi username and password
Sju mobile wifi
Can i have the sjumobile wifi password please
How do i connect to the sju wifi
How do i connect to the sju guest wifi
I need help connecting to sjumobile wifi
I cannot connect to sjumobile wifi
How to log in to sju guest wifi as a student"
Contacting professors or faculty via email,8,8,"I am looking for my professors email
I need the email addresses for 2 professors
How can i find a teacher to email him
Hi i am looking for a faculty members email address
Find email address for faculty
How do i get the emails of my professors
Where can i find my professor email
How do i email my professors"
Issues with receiving SMS messages,8,8,"I am not getting sms
I am not getting an sms message when i try to login
I am not getting the sms or voice call to unlock my account
My sms doesnt work
I dont receive a sms
I wont receive an sms
Im not receiving an ims text
Im not receiving a sms text"
Contacting the dean,8,8,"Dean contact info
I would like to get in contact with my dean
Talk to a dean
Contact for dean
How to contact the deans
How do i contact my dean
How do i talk to my dean
How to contact my dean"
Account login and sign-in,8,8,"Recover st johns account
Open st johns account
Signing into st johns account first time
Sign on st johns login
Make a account for st johns
I need access to st johns central
I can login to my account
St johns sign on"
Logging in and troubleshooting with Okta Verify,8,8,"What do i do if i am locked out of my okta verify
How to sign into okta verify
I know my password i just can login because it asks my for verification my okta
I am unable to to log in to my okta verify
How to sign back into okta verify on my phone
How do i sign in to okta verify
How do i log into okta verify
I cant sign in to my okta verify"
Logging into the student portal,8,8,"Where can i log in student portal
How do i sign in to my student portal
How do i log in to my student portal
How to log into student prtal
How do i log into the student portal
How do i log into student portal
How do i get a student portal login
I need to sign in to my student portal"
Missing or not showing up courses in Canvas,8,8,"Im a student and i dont see my course on canvas
Canvas courses not working
I dont see my classess on canvas
My canvas courses are not loading it says there is currently no content to display if this is incorrect please contact your administrator
Canvas courses says that there is currently no content to display if this is incorrect please contact your administrator
My class was removed from my canvas
Is canvas courses not working
Classes are not showing up on canvas"
Campus description and atmosphere,8,8,"How does the campus look like
What does the campus look like
What is a unique feature of the campus
General campus question
Show me the universitys campus
What is the a campus
What is campus a
What does campus a refer to"
Availability and offerings of medical programs,8,8,"Is there a medical program
What other medical programs
Do you have good medical programs
Programs in medical field
Does this university have a medical program
Dose have medical program
Hello do you guys have a medical program
What medical programs do you have"
Final exam schedule,8,8,"When is finals
If i have a 1215pm140pm when will the final exam be held
I have a monday through thursday 1215 to 140 when is my final exam
When are finals
I need to know when my finals are
When are my finals
When are my final exams
When are final exams"
Speaking with an advisor,8,8,"Need to talk to an advisor
How to connect with advisor
Speak with advisor
Hi can i speak with advisor
How can i speck with my advisor
How can i talk to my advisor
Speak to advisor
I would like to speak with an advisor"
Application requirements for a university,8,8,"What is needed to apply
What do i need to apply
What are the requirnments for this school
Where can i find the requirements for new applicants
What do i need to submit for application
What qualifications do i need to apply
What do i need for it
Requirements to apply"
Trouble logging into UIS account,8,8,"Why cant i sign on to my uis account
I need help logging in to my uis account
Logging in to uis i cannot reset password
Hi i cannot sign my uis in could you help me to solve this problem
Why cant i log onto my uis account through my computer
How do i access my personal uis account
I am unable to log onto my uis account
Im trying to sign into my uis account but i cant"
Adding and dropping classes,8,8,"How do i add or drop classes
Adddrop course
Steps to dropadd a class
Where can i find the adddrop classes option
I need to drop a class and add another class
Add and drop classses
How do you add or drop a class
Ow do i adddrop a courseh"
Tuition cost per semester,8,8,"How much is tuition per semester
How much is tuition for one semster
What is the tuition per semester
Is the tuition based per two semesters or only one semester
How much is the tuiton if i take 15 credits per semester
How much is the tuition fees per semester
How much is for tuition first semester
Tuition cost per semester"
Cost of living on campus,8,8,"Hi im thinking about doing an exchange for a semester here how much is it per term for housing on campus
How much would it cost to stay on campus during winter break
I would like to know the prices for living on campus
How much does it cost to live on campus
I want a house on campus how much
What is the pricer of on campus housing
Price of law student housing
How much does law school housing cost"
Inquiries about the Physician Assistant (PA) program,8,8,"What about for the physician assistants program
I want to know about physician assistance program
I want to learn more about the pa program
I have questions regarding the pa program
Need information about the pa program
I would like to know about the pa program
I am interesting in your pa program what is the
I would to know more about the physician assistant program"
Locating the portal,8,7,"Where is the portal
Wheres portal
Hi where can i find the portal
Where can i find the portal
Whers is the portal
Find my portal
Where will i see it on the portal"
Housing information and questions,8,7,"I have a question about housing
Can i ask a question about housing
I have questions about housing
Where can i find information about my housing
Where do i find information about my housing
Question about housing
Hi this is a housing question"
Unclear or miscellaneous statements,8,7,"Okay i will
Thsnk you
Oh k
Thanks queenie
Likewise
Okayy
Ok ty"
Dorm move-in dates,8,7,"When do i move into my dorm
When do i have to move into my dorm
When can i move into the dorm
How do i schedule a time and appointment to move into my dorm
How do i schedule a dorm move in time
How do i schedule an appointment to move in to dorms
How do i schedule move in time for dorm"
Inquiring about the current date or specific dates,8,7,"What date
Dates and times
What days and the time as well
Date
Just tell me the date
Is there a date for this
Can you list the days please"
Username and password retrieval or assistance,8,7,"I dont know my username or password
Sjumobile username password
I cant sign on as i do not know my username and password
I dont know my username nor password
Username and password for sju mobile
It is asking for a login name and password i dont think we have one how can i obtain one
Whats the username and password"
Lack of email access,8,7,"I dont have a st johns email
What is i dont have an email
I do not have the email
I dont have a stjohns email
I do not have a stjohns email as yet
But i dont have a st john email
I dont have an email"
Popular college majors,8,7,"Popular majors
What are the most popular majors you guys have
What are the two most popular majors
What the the two most popular majors the school has too offer
What is the top major
Five most popular majors
Top majors"
Recovering a forgotten recovery question answer,8,7,"I forgot the answer to my recovery question
My recovery question is not registering with the system to unlock my account how can i fix my recovery question
I forgot my recovery question
I forgot my recovery question answer
I locked myself out and do not remember the answer to my recovery question
I can not remember my recovery answer
I dont know my recovery question"
St. John's locations and related information,8,7,"In st johns
Why stjohns
St johns
St john is not listed
For st johns
Where in st johns
Map of st johns"
In-person graduation ceremonies,8,7,"Graduation ceremony will be held in person
The graduation will be in person this year
The graduation ceremony will be in person this year
The graduation ceremony is going to be in person or virtually
Graduation ceremony will be held in person or virtually
Graduation for this year is in person
Is graduation ceremony going to be in person"
Obtaining and using a St. John's email address,8,7,"How do i get a st johns email
What is my stjohns email
Is there another way to get my stjohns email
Is there another way to get my stjohns email cause i am struggling to get it
How do i get my st johns email
How do i get my full st johns email
How do i recive my stjohns email"
Finding and locating email,8,7,"Where is my st johns email
Find email
Hi where do i find email
Where can i find my st johns email
How do i see the emails sent to me by st johns
Where do i find my st johns email
To where find my st johns email"
Class resumption dates,8,7,"The classes resumes on april 22nd
Classes resumes april 2nd
Class resume on april 22nd
The class resumes april 2nd
The classes resume on april 22nd
The classes resume april 22nd
Classes resume on april 22nd"
Center for Student Success Location,8,6,"Center for student success
Where is the center for student success located
Where is the center for student success
Center of student success
Where is center for student success located
What floor is center for student success located"
School colors,8,6,"What are the school colors
What are your school colors
School colors
What are your colors
Whats the school color
What are the college teams colors"
Being locked out of something,8,6,"Locked out
Locked out and cant submit my graces
Ive been locked out
I waited 6 hours and still locked out
I got locked out
I entered the correct info but its still saying im locked out"
Reserving or booking a study room,8,6,"How to reserve a study room
How do i reserve a study room
How to reserve study room at college of health science building
How to get a study room at health science building
How do i schedule a study room
Hi johnny how do i reserve a study room in tobin"
Spring semester,8,6,"In the spring
The spring semester going to start on january or feburary
My question the spring semester starts january or february
For spring
For the spring
In the spring or in the fall"
Recovering or finding a password,8,6,"I dont know my password
What is my password
Im a new user idk what my password is
How to find password
Where can i find my sign on password
How do i find my password"
Scheduling an appointment with an academic advisor,8,6,"How do i schedule an appointment with my academic advisor
I would like to make an appointment to meet with my academic advisor
How can i book an appointment with my academic advisor
I would like to set up an appointment with my academic advisor
Schedule an appointment with my academic advisor
How do i make an appointment with my academic advisor"
Locating and finding class locations,8,6,"How do i know where my classes are
How can i find out where my classes are located
Where can i find where each of my classes are located
How can i find out where my classes are being held
How do i find out where my classes take place
How do i find out where my classes are"
Online degree programs,8,5,"Online degrees
Is this degree 100 online
Do you have online degrees
Do you offer any online degrees
Do you offer online degrees"
Signing up or registering,8,5,"How do i sign up
Where do i sign up
Can i sign up
Where can i sign up
How did i sign up"
Finding or retrieving a user ID,8,5,"What is my user id
I dont know my user id
What is the user id
What is my userid
What is the user id information"
Identifying the dean(s) at various institutions,8,5,"Who is the dean
Give me list of deans
Who is your dean
The dean of st johns college
Where are the deans offices for st johns college"
Finding and contacting an academic advisor,8,5,"How do i find out who my academic advisor is
Can i find my academic advisor online
Whos my academic advisor
How do i know who is academic advisor
How do i know who is my academic advisor"
Student identification and student ID numbers,8,4,"Student id
I found a student id
Xo3753987 this y student id
Student id number"
Checking application status,8,4,"How do i check my application status
How to check my application
How to check my application status
Can you check my application"
Master's degree programs,8,4,"Masters
Master
For masters
Master of science"
Accessing and checking email,8,4,"Access email
For email access
Email access
Access my email"
Spring semester course inquiries,8,3,"I have a question about spring classes
I have a question about spring classes too
What about spring classes"
Admissions portal,8,3,"Admissions portal
Admission portal
Admissioms portal"
Human Resources,8,3,"Human resources
Hr
Human resource"
Jokes and humor,8,2,"Tell me a joke
Tell me another joke"
Account unlocking,8,2,"Unlocking account
Unlocking my account"
College Advantage program and information,8,2,"College advantage
College advantage student"
Housing deposits,8,2,"Housing deposit
Housing deposits"
Personal finance and financial assistance,8,2,"Financial
Finaical"
Remote access,8,1,Remotely
Mailing address for the bursar's office,8,1,What is the mailing address for the bursars office
Student organizations,8,1,Student organizations
Dean's List recognition,8,1,Deans list
ROTC (Reserve Officers' Training Corps),8,1,Rotc
Class of 2028 requirements,8,1,For class of 2024
Accessing and using Okta,7,7,"I dont know how to sign in to okta
How to log in okta
Need to find a way to sign in to okta
Login without okta if possible
Where can i ind the code to sign on to okta
Is there a code to log into okta
Access okta"
Casual conversation or informal responses,7,7,"God bless you
I will
Yes i will try that thank you
Thats helpful thank you
Thank you very helpful
Alright
Yumm"
Withdrawing from a certain context or situation,7,7,"How to withdraw
Hello how to i withdraw from saint johns
I need to withdraw my daughter
I want to withdraw
How do i withdraw from st johns
Who do i go to to withdraw from st johns
How to withdraw from st johns"
Billing inquiries,7,7,"Term bill
Billing question
A question on my bill
Explain the bill and what each thing means
I have a question about my term bill
I have a question about my bill
I need help with my term bill"
Questions about tuition,7,7,"I need to know more about the tuition fees
How much i have to pay annually for studying in st johns after financial aid
I have questions about my tuition
I just wanted to know what is the yearly tuition for the school
I have questions about the tuition
Question about tuition
Need to ask question about tuition bill"
Start dates and first day of an event or activity,7,7,"When will it begin
It starts on january 22
It starts january 17 or 22nd
When does it started
When is the first day
When does it start
When do they start"
Recovering or resetting an email password,7,7,"I got my email but with no password
Dont know my password for email i never set up a phone number
I received an email to log in but no pin given
What is my email and password
Which password do i need to sign into my email
What is the password to my email
What is my password for email"
Fall 2023 move-in date,7,7,"Can you please tell me moving date for fall of 2024 and the first day of classes
Pay fall 2024 housing deposit
Move in day for fall 2024
When is move date for 2024 semester
Whats the earliest i can move in for fall 2024
When is move in for the fall 2024 semester
When is move in day for the fall 2024 semester"
GPA requirements for applying,7,7,"Minimum gpa to apply for this university
What is the lowest gpa to apply for a graduate program
I have ess than 30 gpa can i still apply for a graduate program
I have less than 30 gpa can i still apply for a graduate program
Gpa requirement to apply
What gpa do i need to apply
What is the gpa requirements for for if you wanna apply"
Course requirements and required classes,7,7,"What classes are everyone required to take
Required classes
Required courses
What is everything i need to complete before choosing my classes
What are the courses you need to get that
What required classes
I want to see the list of required classes"
SignOn account lockout issues,7,7,"Signon account locked
Im locked out from signon
My signon is locked
Hi i need to unlock my signon
Signon account locked out
I got locked out of my signon
Unlock signon"
Declining an offer of admission,7,7,"How can i decline my admission
How do i deny an acceptance letter from st johns
How do i decline my offer of admission
How do i decline admissions
How to decline my spot in the university
How can i decline my acceptance
How do i reject my acceptance"
Class format (online or in person),7,7,"Will the classes be remotely or in person
Would the classes be in person or online
Is the classes going to be remotely or in person
Is the classes going to be online or face to face
Will the classes be in person or online
Are the classes going to be remote or in person
Are these courses in person or online"
Requirement of the CSS Profile,7,7,"Does st johns require the css profile
Do you require a css profile
Does st johns needs css profile
Does stjohns university accept the css profile
Do you rquire filling out the css profile
Does st johns university accepts css profile
Does the university requiere a css profile"
Cost of tuition and room and board,7,7,"What is tuition room and board
Whats the tuition boarding and room
How much is tuition with room and board
How much is tuition including room and board
How much is tuition room board
How much is tutition including room and board
Whats total cost of tuition looking like including room board"
Password retrieval and management,7,7,"What is password
Thanks i tried that already i dont know my login or password
I dont know the password
Wait so what is the password
I dont knoiw my password
So what is the password
What is the password"
Questions about schedules,7,7,"What does mr mean on the student schedule
Can you teach me about the schedule
I have questions about my student schedule
What does mr mean on my class schedule
On my class schedule what does mr mean
What day does mr mean for my schedule
What does mr stand for on the student schedule"
Passing grades and grade requirements,7,7,"What is the passing grade before failing
Is a 70 out of 100 passing
Is a passing grade a 65 or 75
What is the passing grade at this university
What grade do i need to pass my classss
Whats the passing grade
Is there a minimum passing grade for a class to get credit"
Hotels and accommodations nearby,7,7,"Recommended hotels
What hotel is nearby
Hotels
Area hotels
Nearby hotels
Hotel near by
Looking for link to hotels"
Finding a syllabus,7,7,"Need course syllabus for 2017
I need a copy of a syllabus
Chemistry syllabus
How do i find the public syllabus
Need a syllabus
Where can i find the syllabus
Syllabus for mth 1004"
Start dates for second half semester courses,7,7,"The half of the semester start march 13th
The 2nd half of the semester begin march 13th
The half of the spring semester is march 13th
The half of the spring semester begins march
The second half of the spring semester begins march or april
When is the second half of spring semester
When the 2nd half of spring classes begin"
Accessing fall 2022 and fall 2023 class schedules,7,7,"Where do i find my schedule for the fall 2024 term
How can i view my fall 2024 schedule
How can i view my fall 2024 class schedule
Where can i see a visual representation of my upcoming fall 2024 schedule
How can i check my fall 2024 schedule
Where can i find my schedule for the fall 2024
How can i access my class schedule for the 2024 fall term"
Trouble accessing the 1098T form,7,7,"Cant access it
I cant get into my email and did not receive the code
It is not letting me in
I still cant get in
Why does it say access forbidden
I still cant access it
I cant access it"
Obtaining an ID card,7,7,"Can view my id card
Where do i get my card id number
How to get id card
How do i get up my id card
Where do i get an identification
Where do i find my id card
Where do i get my id card"
Requesting and seeking information,7,7,"Please give me some information
Any more information
I am looking for other type of info
In and see my information
I need some more information
More info
More information"
Accessing and navigating a portal,7,7,"Held getting into my portal
How can i check portal ststus
How do i acess portal
I want to acess my portal
How do i get into my portal
How can i access my portal
How to check my portal"
Student metro cards and availability,7,7,"Can i get a metrocard on campus
Does this school have student metrocards
Can i buy a metro card on campus
Where can i get a metrocard on campus
Where can i buy a metrocard on campus
Metro cards for student commuters
Can i get a school metro card"
Out of state tuition costs,7,7,"How much is out of state tution
How much would out of state tuition be if i am from new jersey
For an out of state student how much does a tution cost with aid
What is the out of state tuition
How much is tuition outofstate
What does out of state tuition look like
How much is out of state tuition"
Difficulty or inability to perform a certain action,7,7,"And i cannot
Its not allowing me
Doesnt let me
And then i can try again
It is not allowing me
It doesnt allow me
I couldnt do that"
Obtaining an application form,7,7,"I need to discuss about my application form
From where can i get application form
Can i fill out the application form please
Where do i find the application form
See my application form
I want an application form
I need an application form"
Transferring high school credits to college,7,7,"How to i transfer my college credits that i got in high school
I need my high school credits transferred to my college
How do i transfer highschool credits
How do i get coellge credits from high school transfered
How do i transfer coellge credits from high school
How can i transfer credits from highschool
I need help transferring over high school credits to my college"
Finding a priority registration number,7,7,"Where do i find my prioity regestiration number
How to get priority registration number
How do i find my priority registration number
How do i find my priority registration number if its november 29
How how do i figure out my priority registration number
Finding my priority registration pin
I need help with finding my priority registration number"
Accessing a 1098T form and accessing Alfresco,7,6,"How do i access it
How do i find coursedog
How do i get it access
Where do i access it
How do i access timetrade
How can i have access to that"
Job postings and listings,7,6,"Job opportunity
Open positions
Available jobs
Vacancy
Job listing
Job positions"
Setting up email,7,6,"How do i set up my email
Im trying to set up my email
Looking to set up my email
Setting up my email
Set up email
Email setup"
Finding and accessing a course syllabus,7,6,"Course syllabus
Where can i find course syllabus
Can i see course syllabus
Can i please have the syllabus for a class
How do i find a syllabus for a class
Access online class syllabus"
Finding and obtaining a student ID,7,6,"Where do i find my student id number
How can i find my student id
Do i get a student id if i applied
How do i find my student id number
How do i get my student id
How do i find my student id"
Spring semester deadlines,7,6,"I have a question about the deadline for spring
When is the deadline for the spring
When is the deadline for spring
My question is when the deadline for spring semester
When is spring semester due
Spring semester deadline"
Applying for admission,7,6,"I want to apply to this institution
I want to apply for admission
I want to study at your university
What is the procedure to apply for addmission
Hello i need your help i would like to studies in they university
Apply for admission"
Submitting and sending a high school diploma,7,6,"How do i submit my high school diploma
Where to send my high school diploma
Where do i submit or upload my high school diploma
Where do i submit my high school diploma
How do i upload my high school diploma
Where do i submit my high school diploma online"
In-state tuition costs,7,6,"How much is in state tuition
How much is tuition for both instate and out of state
How much is tuition instate
What is the tuition fee for instate students
What is tuition in state
How much is in state tution"
Contacting the dean via email,7,6,"What is the deans email
Dean email
What is the dean of the schools email address
How do i know what my advising deans email is
Dean emails
How do i get my deans email"
Non-receipt of parking permits or passes,7,6,"Parking pass has not arrived
I havent received my parking permit yet
Parking permit has not arrived
My parking pass never came
Why didnt i receive my parking pass
I never received my parking pass"
Being locked out of UIS (User Information System),7,6,"I am locked out of uis
Im only locked out of uis
Im locked out of uis
Locked out of my uis
I am locked out of my uis and cannot get in
Got locked out of uis"
Being an international student,7,6,"I am an international student
I am the new international student with email id kranthigattu23mystjohnsedu
I am an future international student
I am an international prospective student from nigeria
Im a new international student
I am italian citizen"
Financial aid inquiries,7,6,"Financial aid question
Whats a financial aid
Hi i have a financial aid question
Financial aidd questions
I want to ask about financial aid
I have a question about financial aid"
First-time login or sign-in process,7,6,"First time signing in
Logging in for first time
First time sign on
First time signon
It is not the first time i am login
This is my first time logging in"
Requesting a mailing address,7,6,"Mailing address
What is the townhouses address for mail
Need your mailing address
What is the postal address of st johns university
Full mailing address
Is there a mailing address"
Obtaining or accessing something,7,6,"How do i get mine
Where do i go to do this
How can i get it
How do i get it
I need to get one
How do i buy one though"
Transferring credits between educational institutions,7,6,"How can i transfer credits to st johns
How do i transfer the credits from st johns
How do i get credits transferred to st johns
How do i transfer credits to st johns
How do i transfer credits from another schoo
How to transfer credits from st johns"
Tuition payment due dates,7,6,"Tuition due date
When is the latest date to pay my tuition
When is tuition due
When is the tuition for this year due
Hen is the last day to pay my tuition for fall semester
What are the tuition payment deadlines"
Online availability of the 1098T form,7,6,"Can i do it online
Can this be done online
Can it be done online
Do you offer online
Can this be done on line
Can you do it online"
Availability on Specific Days of the Week,7,6,"Do you have monday through saturday
Do you have on monday tuesday wednesday thursday and friday
Do you offer mondays tuesdays thursdays fridays and saturdays
Do you have on monday through friday
Do you have mondays tuesdays wednesdays and fridays
Do you have monday tuesday wednesday friday saturday and sunday"
Withdrawing a job or application,7,5,"How do i withdraw my application
How can i withdraw my application
Where can i withdraw my application for fall 2024
How can i withdraw my application to st johns
How do i pull my application"
Choosing and picking classes,7,5,"How do i chose my classes
How do i pick my classes
How can i choose my classes
How can i chose my classes
How does a student pick their classes"
Graduate assistantships,7,5,"Graduate assistantships
Graduate assistanship
Graduate assistanceship
Graduate assistantship position
Graduate assistantship"
Dates in January,7,5,"January 3 2024
January 22 2024
It is may 18 2024 right
January 10 2024
Jan 2025 is availble"
Operating hours,7,5,"Are you open today
Are you guys open today
Are you closed today
Is it open today
Are they open today"
Transfer application process,7,5,"Transfer application
Hello i need help on to where i can go to put in an application for transfer
Transfer applications
I want to ask about transfer application process
Transfer app"
Methods of accessing the 1098T form (online or in person),7,5,"It is going to be in person
In person or virtual
It will be in person
It is going to be in person this time
Is it online or in person"
Signing up for and purchasing a meal plan,7,5,"How do i select a meal plan
How do i sign up for my dinning plan
How do i register for a faculty meal plan
How do i sign up for a meal plan
Sign up for meal plan"
Joining a club,7,5,"How do i join clubs
How to join a club
How to join a specific club
How do i join a club
How do i join a club or organization"
Obtaining a copy of a transcript,7,5,"How can i get a copy of my transcript
How can i receive a copy of my transcript
How do i get a copy of my transcipt
Copy of a transcript
How to get a copy of my transcript"
Requesting a phone call,7,5,"Call me
Can someone in it call me about it tomorrow
Can you have someone give me a call
Can someone call me
Please call me back"
Credit requirements and enrollment,7,5,"How many credits is that
How many credits
How much credit
How many credits am i taking
How do i check how many credits im taking"
Student Account Suite Access and Information,7,5,"Student account suite
Access students account suite
What is a student accounts suite
I need to access the student accounts suite
How do i get to the student account suite"
Changing or switching classes,7,5,"Change classes
Class change
Switch classes
Change class
Switch class"
Contacting an academic advisor,7,5,"How do i contact my academic advisor
I need to speak with an academic advisor
How do contact my academic advisor
How can i get in contact with my academic adviser
How to contact academic advisor"
Password assistance,7,5,"Password help
I need help with my password
Help with signing password
Need help with sign on password
Can you help me with my password"
School tours,7,5,"School tour
School tour or visit
Any tours available
A tour
Are their any tours"
Undergraduate student status,7,5,"Im undergraduate
I am a undergraduate
Im an undergrad
As an undergraduate students
As an undergraduate student"
Contacting Human Resources,7,5,"Hr number
Human resources phone
Human resources number
Phone number human resources please
What is the phone number for the office of human resources"
Understanding the concept of undergraduate education,7,5,"I meant undergraduate
What about undergrad
What about undergraduate
What is a undergraduate
What does undergraduate mean"
Student schedules,7,4,"Student schedule
Student schedule day and time
Student schedule by day and time
Student schedule format"
Bachelor's degrees and related terms,7,4,"Bachelor of science
Bachelor of arts in arts
Bachelor of science undergraduate
Bachelor of science of undergraduate students"
Understanding and accessing the UIS system,7,4,"What is uis
What is the link for uis
Whats uis
Where of uis"
Spring break dates,7,4,"When is spring break
When do we have spring break
When does spring break start
When is springbreak"
Location of the main campus,7,4,"Where is the main campus
Where is your main campus
Where is your main campus located
Where is located the main campus"
Taking online classes or courses,7,4,"Online classes
Online courses
Even for online graduate programs
Online class"
Co-ed dormitory arrangements,7,4,"Can make and female dorm together
Can female and male dorm together
Are dorms co ed
Is there co ed dorms"
Changing email address,7,4,"How do i change my email
How can i change my email
I would like to change my email adress on file
How do you change your email"
Dining hall hours and availability,7,4,"Dining hall hours
Dining hall lunch hours
Dinning hall open hour
What are the dining hall hours for lunch"
Obtaining a 1098T form in person,7,4,"In person
Is that in person
It is in person
Not in person"
Graduate admissions,7,4,"Graduate admissions
Graduation admissions
Graduate admission
Admission of graduate students"
Summer tuition and fees,7,4,"Summer tuition
Summer tuition costs
Summer session tuition
How much is summer tutition"
Seeking advice or guidance,7,3,"Advisor
Advisment
Advising"
Common hour schedule,7,3,"When is common hour
When is common hours
When does common hour end"
Guidance counseling,7,3,"Guidance counselor
Guidance counseler
Guidance councelor"
Lost and found location,7,3,"Lost and found
Where is the lost and found
Lost found"
Transferring to Northampton Community College (NCC),7,3,"Transfer student from ncc
Is a possible as a transfer student in ncc i can still register
Transfer student from ncc senior"
Counseling and counselors,7,3,"Counseling
Counselors
Counselor"
Locating the university center and related facilities,7,3,"Where is the university center
Where is the freshman center
Wheres the university center"
Alumni login and sign-in process,7,3,"Alumni login
Alumni signing in for firtt time
Sign on for alumni"
Dining hours,7,3,"Dining hours
Dining times
Dinning veterand day hours"
Freshman orientation,7,2,"Freshman orientation
Freshmans orientation"
Schedule change form requests,7,2,"Schedule change request form
Change schedule form"
Myth of the amateur athlete in big-time college sports and general information about athletics,7,2,"Athletics
Can u tell me about the sports team"
Configuration issues and problems,7,2,"Configuration issue
Why is there a configuration issue"
Emergency contact information,7,2,"Emergency contact information
Emergency contact"
Academic calendars,7,2,"Academic calendar spring 2024
Student calendar fall 2024"
IT support,7,2,"It support
It suppot"
St. John's University basketball games and events,7,2,"St johns university basketball games
St johns university basketball team"
Residence Life and Housing,7,2,"Residence life
Resident life"
2024 calendar and dates,7,2,"2024
2024 calendar"
Student loans and financial aid,7,2,"Student loans
Student loan"
Office of Scholarships and Financial Aid,7,1,Office of scholarships and financial aid
Recreation and fitness centers,7,1,Gym
Setting up and troubleshooting multifactor authentication,7,1,Solutions setup mfa
Age of the assistant,7,1,How old are you
CSS Profile and its requirements,7,1,Css profile
Setting up Okta on a new device,6,6,"Im setting up okta app on my new phone
How to add okta to new device
How do i log in to okta verify in my new device
Is there any way for me to have two phones with the okta app
How to add okta qr to new phone
How to set up okta on iphone"
